name,CIK,ticker,CUSIP,CUSIP6
Amazon,1018724,AMZN,23135106,231351
Nvidia,1045810,NVDA,67066G104,67066G
Apple,320193,AAPL,37833100,378331
PayPal,1633917,PYPL,70450Y103,70450Y
Intel,50863,INTC,458140100,458140
AIG,5272,AIG,26874784,268747
PG&E,75488,PCG,69331C108,69331C
McDonalds,63908,MCD,580135101,580135
Microsoft,789019,MSFT,594918104,594918
